rebal_date,solver,converged,iterations,elapsed_time,final_residual,relative_residual,condition_number,min_eigenvalue
2024-09-05,GD,False,574,0.0020404999959282577,5.806137145248149e-07,0.00012460695693236585,203.52718513037323,4.252643859884502e-05
2024-10-04,GD,False,689,0.002475667017279193,4.836748846703448e-07,8.046841994673833e-05,202.94894875795268,4.256204556852012e-05
2024-11-04,GD,False,676,0.0024280420038849115,5.165078025264008e-07,8.978969193162844e-05,209.839273944385,3.931085055821816e-05
2024-12-04,GD,False,402,0.0014375000027939677,6.746117732188063e-07,0.0001352660782152929,191.17210733855572,3.932288908620125e-05
2023-01-03,CG,False,12,0.00018345800344832242,2.5815660834806195e-06,0.0006811816343272528,277.0938955457468,4.117939732756927e-05
2023-02-02,CG,False,12,5.445801070891321e-05,1.617781618009124e-06,0.000545202092495408,281.22856820634104,4.078053652327629e-05
2023-03-06,CG,False,12,5.01670001540333e-05,1.2601265319181797e-06,0.0003782935473536683,255.26422801549478,4.3759866007751417e-05
2023-04-04,CG,False,12,4.966699634678662e-05,1.4011398206579138e-06,0.0004161343465105291,244.44386455614892,4.334560928039186e-05
2023-05-04,CG,False,12,4.920799983665347e-05,1.3819107267177143e-06,0.0004005553398065945,235.50514512248282,4.460073720689473e-05
2023-06-05,CG,False,12,5.0125003326684237e-05,1.0250336844502098e-06,0.0003313878505642359,225.75834993157278,4.724199068007024e-05
2023-07-06,CG,False,11,4.604199784807861e-05,1.9630811582618115e-06,0.0006494962085120497,225.53625773609681,4.747103823266089e-05
2023-08-04,CG,False,11,4.341700696386397e-05,2.3176134399074092e-06,0.0007516837012846655,223.11644616683182,4.823095882348874e-05
2023-09-05,CG,False,11,4.5833003241568804e-05,2.527827591961937e-06,0.0008027255930709675,226.3528250883106,4.8049566617164857e-05
2023-10-04,CG,False,12,4.791698302142322e-05,1.4136331785892238e-06,0.00044140839348389305,228.70841952917,4.742118914555048e-05
2023-11-02,CG,False,12,5.1417009672150016e-05,1.7607465606016077e-06,0.000499992391680038,233.71174847535744,4.6709579817969424e-05
2023-12-04,CG,False,12,4.783400800079107e-05,1.44903566084712e-06,0.0004253975564161933,244.1684020671227,4.431655414095431e-05
2024-01-04,CG,False,12,5.08330122102052e-05,1.3615388708342408e-06,0.00040747458626899305,244.03483836287944,4.380289238467149e-05
2024-02-05,CG,False,12,5.09160163346678e-05,2.1670834184347297e-06,0.0008216459339432684,236.79054811338423,4.308750883354856e-05
2024-03-06,CG,False,12,4.679098492488265e-05,1.3581928043975675e-06,0.0004571398149571314,221.85873490903967,4.4160043739073396e-05
2024-04-05,CG,False,12,4.67080099042505e-05,2.3091305275584094e-06,0.0008323056794756514,217.88534004040486,4.298446155131481e-05
2024-05-06,CG,False,12,5.025000427849591e-05,2.265166419338145e-06,0.0006452782908436177,211.76973285378736,4.2855320590965195e-05
2024-06-05,CG,False,12,4.708298365585506e-05,2.355943776809366e-06,0.0005631768894991288,192.6674764352297,4.35368144521316e-05
2024-07-08,CG,False,12,4.7416018787771463e-05,1.9943176739864975e-06,0.00031820807564618246,182.1670166525521,4.2936072418151374e-05
2024-08-06,CG,False,13,5.245799547992647e-05,1.5691696912002363e-06,0.00040012538571540805,197.4005510175328,4.3288973190939324e-05
2024-09-05,CG,False,13,5.1624985644593835e-05,1.5957772780083234e-06,0.000342473740423389,203.52718513037323,4.252643859884502e-05
2024-10-04,CG,False,13,5.383399548009038e-05,1.5771742555600758e-06,0.0002623926202248266,202.94894875795268,4.256204556852012e-05
2024-11-04,CG,False,13,5.366600817069411e-05,2.4727608773420583e-06,0.0004298646338179527,209.839273944385,3.931085055821816e-05
2024-12-04,CG,False,13,5.195901030674577e-05,1.8807891979571095e-06,0.00037711612642554493,191.17210733855572,3.932288908620125e-05
2023-01-03,PCG_Jacobi,False,19,0.00011641698074527085,1.6522842281972172e-09,4.359778655826818e-07,277.0938955457468,4.117939732756927e-05
2023-02-02,PCG_Jacobi,False,19,9.654200403019786e-05,7.105191378669009e-10,2.394492040277855e-07,281.22856820634104,4.078053652327629e-05
2023-03-06,PCG_Jacobi,False,18,9.300000965595245e-05,9.332841312870063e-10,2.8017453467631e-07,255.26422801549478,4.3759866007751417e-05
2023-04-04,PCG_Jacobi,False,18,9.058302384801209e-05,5.094441782814427e-10,1.5130340105043696e-07,244.44386455614892,4.334560928039186e-05
2023-05-04,PCG_Jacobi,False,18,9.25410131458193e-05,6.831378732006868e-10,1.9801172220769024e-07,235.50514512248282,4.460073720689473e-05
2023-06-05,PCG_Jacobi,False,19,9.625000529922545e-05,1.5205465869918767e-10,4.915844940415702e-08,225.75834993157278,4.724199068007024e-05
2023-07-06,PCG_Jacobi,False,19,9.612500434741378e-05,6.509013112922077e-10,2.153542822315796e-07,225.53625773609681,4.747103823266089e-05
2023-08-04,PCG_Jacobi,False,19,9.175000013783574e-05,5.455429458803878e-10,1.7693879993442425e-07,223.11644616683182,4.823095882348874e-05
2023-09-05,PCG_Jacobi,False,19,9.658400085754693e-05,2.7136198501589917e-10,8.617249493259056e-08,226.3528250883106,4.8049566617164857e-05
2023-10-04,PCG_Jacobi,False,19,9.183297515846789e-05,4.877457051209525e-10,1.5229909101381462e-07,228.70841952917,4.742118914555048e-05
2023-11-02,PCG_Jacobi,False,18,9.274997864849865e-05,1.2178199366148262e-09,3.4581961786461274e-07,233.71174847535744,4.6709579817969424e-05
2023-12-04,PCG_Jacobi,False,19,9.612500434741378e-05,9.233374000407888e-10,2.710668096983939e-07,244.1684020671227,4.431655414095431e-05
2024-01-04,PCG_Jacobi,False,19,0.00010041700443252921,1.0919227425312606e-10,3.267852114115641e-08,244.03483836287944,4.380289238467149e-05
2024-02-05,PCG_Jacobi,False,19,9.662500815466046e-05,3.4914976511691383e-10,1.3237953020413456e-07,236.79054811338423,4.308750883354856e-05
2024-03-06,PCG_Jacobi,False,19,9.020799188874662e-05,1.8858343183176736e-10,6.347331163324291e-08,221.85873490903967,4.4160043739073396e-05
2024-04-05,PCG_Jacobi,False,19,9.72079869825393e-05,3.0360660126033307e-10,1.0943231469139322e-07,217.88534004040486,4.298446155131481e-05
2024-05-06,PCG_Jacobi,False,19,9.970800601877272e-05,5.039439300757076e-10,1.4355858143759838e-07,211.76973285378736,4.2855320590965195e-05
2024-06-05,PCG_Jacobi,False,19,8.929197792895138e-05,3.3511175077501745e-10,8.010683246935255e-08,192.6674764352297,4.35368144521316e-05
2024-07-08,PCG_Jacobi,False,19,9.025001781992614e-05,5.993671686443842e-10,9.563344688140276e-08,182.1670166525521,4.2936072418151374e-05
