Date,GD,CG,PCG_Jacobi,PCG_SSOR,PCG_IChol,SPY
2023-03-10,1.1178034253570825,1.117896329522206,1.1178097690886515,1.1178097908772913,1.1178097908772904,1.0107708797585422
2023-03-13,1.1101173523429884,1.1102138983568273,1.1101237717382715,1.1101237926499201,1.1101237926499188,1.0093292573265997
2023-03-14,1.1423942705540826,1.142492893039363,1.1424009584556112,1.1424009852879602,1.1424009852879575,1.0258770020345618
2023-03-15,1.1323741007402957,1.132460522632252,1.1323758944682711,1.132375925403998,1.1323759254039956,1.019440782278527
2023-03-16,1.1880611863836943,1.188143141734223,1.1880589463913962,1.1880589802106691,1.188058980210665,1.0371720604285892
2023-03-17,1.1794323213101003,1.1795093393378246,1.1794273922092586,1.1794274258169084,1.1794274258169029,1.024973221021467
2023-03-20,1.1822844242111454,1.1823681651310138,1.1822836821685858,1.1822837129946202,1.1822837129946155,1.0347818643739266
2023-03-21,1.1813598781638663,1.1814434257574928,1.1813585084602587,1.181358534747745,1.1813585347477384,1.0482806254068282
2023-03-22,1.170685998211598,1.170768709124031,1.1706835178673276,1.1706835471774217,1.1706835471774135,1.0302571222516619
2023-03-23,1.2090248855441477,1.209107509932397,1.2090199928472096,1.2090200206013362,1.2090200206013293,1.0330385539700395
2023-03-24,1.1899067289633107,1.189975050209832,1.1898947566564382,1.1898947818806787,1.1898947818806735,1.0397952591753548
2023-03-27,1.1737779915572215,1.1738397307731394,1.173763479305236,1.1737635029135225,1.1737635029135174,1.041737626121337
2023-03-28,1.166305438687171,1.1663700880895551,1.1662914915842926,1.1662915157097484,1.1662915157097442,1.0393966143072062
2023-03-29,1.2250220892516288,1.22508620999055,1.2250061217631067,1.225006146896469,1.2250061468964684,1.0543954451488036
2023-03-30,1.2415830806607806,1.2416495429554875,1.2415712228863356,1.241571252288521,1.2415712522885198,1.0605510858339318
2023-03-31,1.2447375471587399,1.2448021810277246,1.244725040038996,1.2447250741740894,1.2447250741740867,1.0753948330663679
2023-04-03,1.2330601915228492,1.2331270256411426,1.2330464766320801,1.2330465112476643,1.2330465112476623,1.0794849438430345
2023-04-04,1.2089243037438377,1.2089940464307518,1.208911777860747,1.2089118097592433,1.2089118097592406,1.0734792599481822
2023-04-05,1.1895962907887476,1.189655840395538,1.189582831293538,1.1895828628608582,1.189582862860857,1.0706648762279016
2023-04-06,1.1840995759047164,1.1841634887798063,1.1840894492440912,1.184089482779322,1.1840894827793282,1.0748333143799507
2023-04-10,1.204303071793286,1.2043735911973301,1.2042932840979268,1.2042933169543415,1.2042933169543502,1.0759359599301475
2023-04-11,1.2021257242139949,1.2021976602346292,1.2021169110746306,1.2021169446794515,1.2021169446794593,1.0762247488519132
2023-04-12,1.1810389482716106,1.1811120147157954,1.1810317303948696,1.1810317648227409,1.1810317648227522,1.0718290327140336
2023-04-13,1.1909712838383664,1.1910450167462079,1.190965126470019,1.1909651611752057,1.1909651611752186,1.0859723134373893
2023-04-14,1.1878251071309045,1.1878965685768026,1.1878182838032902,1.1878183181847908,1.187818318184804,1.0833161962275737
